Item_Id,Playtime_Forever_Hours,Year_Launch,Genres
4000,7493701,2006,"Massively Multiplayer,  Multiplayer, Building, Shooter, Online Co-Op, First-Person, Comedy, Simulation, Singleplayer, Sandbox, Funny, dable, Physics, Co-op, FPS, Adventure, Action, Indie, Animation & eling"
4100,21,2006,Card Game
4230,1387,2006,"Simulation, Racing"
4290,1256,2007,"Simulation, Racing"
4300,66,2006,"Action, Physics, Robots, Puzzle, Indie"
4420,113,2007,"RPG, Fantasy, Action RPG, Action,  Hack and Slash"
4460,100,2008,"Strategy, Simulation, City Builder"
4470,26,2008,"RPG, Fantasy, Action RPG, Action, Hack and Slash"
4500,17587,2007,"Survival Horror, Horror, RPG, Shooter, First-Person, Open World,  Post-apocalyptic, Atmospheric, Survival, Difficult,  Singleplayer, Classic, Sandbox, dable, Sci-fi, FPS, Adventure, Action"
4520,182,2004,"Tactical, Strategy, Action, Military"
4530,127,2006,"Strategy, Action, Military"
4560,35096,2006,"Historical, Team-Based, RTS, Multiplayer,  Base Building, War, Simulation, Singleplayer, Classic, Violent, dable, Strategy,  Tactical, Co-op, Military, Adventure, Action, I"
4570,14117,2006,"Fantasy, Action, War, Great Soundtrack, Base Building,  Tactical,  Sci-fi, Singleplayer, Classic, RTS, Strategy, Multiplayer"
4580,32437,2006,"Fantasy, Action, War, Adventure, Base Building,  , Tactical, Sci-fi, Singleplayer, Gore, Classic, Co-op, RTS, Strategy, Multiplayer, Atmospheric"
4700,86351,2006,"Medieval, Historical, 4X, RTS, Multiplayer, Turn-Based Strategy, War, Grand Strategy, Great Soundtrack, Simulation, Singleplayer, Classic, Sandbox, dable, Strategy, Tactical, Military, Turn-Based, Action"
4720,922,2006,"Survival Horror, Difficult, Story Rich, Detective, Horror, Dark,  Mystery, First-Person, Singleplayer, FPS,  Horror, Gore, Classic, Survival, Action, Atmospheric"
4760,51593,2004,"Medieval, Historical, 4X, RTS, Multiplayer, Turn-Based Strategy,  Atmospheric, War, Grand Strategy, Great Soundtrack, Simulation, Singleplayer, Classic, dable, Strategy, Tactical, Turn-Based, Action"
4770,1741,2006,"Turn-Based, Grand Strategy, Historical, Singleplayer, RTS, Strategy, Multiplayer, Turn-Based Strategy"
4800,403,2006,"RTS, Strategy, Fantasy, RPG"
4850,806,2002,"Historical, Classic, RTS, Strategy, Multiplayer"
4870,218,2002,"RTS, Strategy, Historical"
4880,121,2001,"RTS, Strategy, Historical"
4890,374,2006,"RTS, Strategy, Historical"
4900,5,2006,"Puzzle, Casual, Indie"
4920,109124,2012,"Team-Based, RTS, Multiplayer, Futuristic, Shooter, Online Co-Op, First-Person, Atmospheric, Adventure, Space, Competitive, dable, Co-op, Tactical, Sci-fi, FPS, Strategy, Action, Indie, Aliens"
6000,12199,2005,"Dark, Team-Based, Multiplayer, Futuristic, Shooter, First-Person, Atmospheric, War, Great Soundtrack, Adventure, Space, Singleplayer, Classic,  Tactical, Co-op, Sci-fi, FPS, Strategy, Action"
6010,332,1992,"Retro, Third Person, Point & Click, Pixel Graphics, Singleplayer, 1990s, Classic, Adventure"
6020,23392,2003,"Multiplayer, RPG, Shooter,  Character Customization, First-Person, Female Protagonist, Great Soundtrack, Fighting, Singleplayer, Classic,  Third Person, dable, Sci-fi, Third-Person Shooter, FPS, Adventure, Action, Hack and Slash"
6030,7343,2003,"Multiplayer, Shooter,  First-Person, Atmospheric, Story Rich, Great Soundtrack, Space, Singleplayer, Classic,  Cult Classic, Third Person, dable, Sci-fi, Third-Person Shooter, FPS, Adventure, Action"
6040,184,1995,"Story Rich, Retro, Third Person, Great Soundtrack, Aliens, Point & Click, Pixel Graphics, Space, Sci-fi, Singleplayer, 1990s, Classic, Adventure, Atmospheric"
6060,92799,2005,"Multiplayer, Shooter, First-Person, Open World, Great Soundtrack, Adventure, Space, Singleplayer, Classic,  Third Person, dable, Tactical, Co-op, Third-Person Shooter, Sci-fi, FPS, Military, Strategy, Action"
6080,413,2007,"Strategy, Racing, Simulation, Singleplayer, Management, Adventure, Action"
6090,22,2003,"Funny, Shooter, Third-Person Shooter, Classic, Comedy, Action"
6120,1763,2010,"Local Co-Op, 2D, Multiplayer, Platformer, Side Scroller, Beat em up, Co-op, Singleplayer, Short, Controller, Adventure, Action, Indie, Gore"
6200,842,2003,"Funny, Horror, Great Soundtrack, Tactical, Simulation, Singleplayer, Classic, Comedy, Strategy, Puzzle, Sandbox"
6210,176,2006,"Strategy, Simulation, Management"
6220,911,2005,"Action, Funny, Racing, Great Soundtrack, Driving, Destruction, Singleplayer, Classic, Arcade, Multiplayer"
6250,1185,2007,"Multiplayer, Grand Strategy, Historical, Singleplayer, Strategy, Action, I, Turn-Based Strategy"
6300,395,2006,"RPG, Fantasy, Futuristic, Story Rich, Female Protagonist, Cyberpunk, Third Person, Great Soundtrack, Sci-fi, Singleplayer, Adventure, Atmospheric"
6310,968,2000,"RPG, Fantasy, Futuristic, Action, Story Rich, Female Protagonist, Funny, Cyberpunk, Third Person, Great Soundtrack, Point & Click, Sci-fi, Singleplayer, Classic, Adventure, Puzzle, Atmospheric"
6370,426,2011,"RPG, PvP, Massively Multiplayer, Multiplayer, Fast-Paced, Competitive, Free to Play, Action"
6400,424,2006,"RTS, Strategy, Action"
6420,553,2004,"dable, Tactical, Space, Simulation, Sci-fi, Singleplayer, Classic, RTS, Strategy, Multiplayer,  Cult Classic, Indie, Atmospheric"
6510,826,2007,"Multiplayer,  Shooter, Third Person, Third-Person Shooter, Sci-fi, Robots, Adventure, Action, Atmospheric"
6550,1353,2006,"Horror,  Beat em up,  Comedy, Controller, Atmospheric, Fantasy, Difficult, Story Rich, Great Soundtrack, Singleplayer, Classic, Stylized, Funny, Third Person, Adventure, Action, Hack and Slash"
6600,120,2007,"Shoot Em Up, Casual, Bullet Hell, Arcade, Twin Stick Shooter, Indie"
6800,719,1998,"Difficult, Isometric, Tactical, Co-op, 1990s, Military, Classic, RTS, Strategy, Action,  I, Stealth"
6810,283,1999,"Tactical, 1990s, Military, Classic, RTS, Strategy, Action, I, Stealth"
6830,960,2002,"Difficult, Multiplayer, Isometric, Tactical, Co-op, Military, Classic, RTS, Strategy, Action,  I, Stealth"
6840,524,2003,"Tactical, Co-op, Military, RTS, Strategy, Action,  I, Stealth"
6850,3348,2002,"Difficult, Shooter, Third Person,  Great Soundtrack,  Singleplayer, First-Person, FPS, Classic, Gore, Adventure, Action, Sandbox, Stealth"
6860,22604,2006,"Dark,  , Shooter, First-Person, Puzzle, Atmospheric, Difficult, Replay Value, Great Soundtrack, Simulation, Singleplayer, Classic, Sandbox, Cult Classic, Third Person, Third-Person Shooter, Strategy, Action, Stealth"
6870,568,2007,"Multiplayer, Flight, War, Simulation, Singleplayer, Strategy, Action,  I"
6880,3958,2006,"Multiplayer, Shooter, Third Person, Singleplayer, Third-Person Shooter, Open World, Classic, Adventure, Action, Sandbox, Atmospheric"
6900,2039,2000,"Difficult, Shooter, Third Person,  Singleplayer, Third-Person Shooter, Classic, Action, Sandbox, Atmospheric, Stealth"
6910,10595,2000,"Cyberpunk, Action RPG, RPG,  Shooter, First-Person,  Atmospheric,  Story Rich, Great Soundtrack, Singleplayer, Classic, Cult Classic, dable, Sci-fi, FPS, Adventure, Action, Stealth"
6920,1030,2004,"RPG,  Story Rich,  Female Protagonist,  Cyberpunk, Shooter, Action RPG, Sci-fi, Singleplayer, FPS, First-Person, Classic, Illuminati, Action, Atmospheric, Stealth"
6980,2704,2004,"Fantasy, Medieval, Story Rich, Steampunk, Horror, Dark, Third Person, Stealth, First-Person, Singleplayer, Open World, Classic, Adventure, Action, Dark Fantasy, Atmospheric"
7000,1413,2006,"Female Protagonist, Action-Adventure, Platformer, Puzzle, Third Person, Shooter,  Singleplayer, Third-Person Shooter, Controller, Adventure, Action"
7010,62,2005,"Cyberpunk, Action, FPS, Shooter"
7020,177,2006,"Multiplayer, Shooter, Third Person, Third-Person Shooter, Sci-fi, Classic, Action"
7110,1346,2007,"RPG, Fantasy, Story Rich, Female Protagonist, Third Person,  Action RPG, Great Soundtrack, Multiple Endings, Party-Based RPG, Character Customization, Singleplayer, Romance, Choices Matter,  Adventure, Action, Atmospheric"
7200,5047,2008,"Competitive, Free to Play, Racing, Level Editor, Singleplayer, Arcade, Multiplayer"
7210,240,2003,"Mystery, Point & Click, Singleplayer, Adventure, Puzzle"
7220,232,2007,"Adventure, Mystery, Point & Click"
7260,44,2007,"RPG, Action, Hack and Slash"
7510,1755,2009,"RPG, Fantasy, Female Protagonist, Violent, Third Person, Great Soundtrack,  Singleplayer, Nudity, Adventure, Action, Hack and Slash, Anime"
7520,9286,2011,"Action RPG, Magic, Exploration, Multiplayer, RPG, Open World, Nudity,  Fantasy, Story Rich, Crafting, Great Soundtrack, Singleplayer, Dark Fantasy, Violent, Third Person, Co-op, Adventure, Action, Hack and Slash"
7530,245,2011,"Strategy, Fantasy, Tower Defense"
7600,3903,2006,"Economy, Simulation, Singleplayer, Casual, Management, Classic, Strategy, Multiplayer, Trains"
7610,334,2003,"Economy, Simulation, Singleplayer, Management, Classic, Strategy, Trains"
7620,23,1998,"Economy, Simulation, Singleplayer, Management, Classic, Strategy, Trains"
7650,958,1995,"Difficult, Isometric, Horror, Turn-Based, Turn-Based Tactics, Tactical, Base Building, Sci-fi, Singleplayer,  Classic, Management, Lovecraftian, Strategy, Turn-Based Strategy, Aliens"
7660,1317,1997,"Post-apocalyptic,  Isometric, Cyberpunk, Turn-Based, Tactical, Sci-fi, Singleplayer, Classic, Strategy, Turn-Based Strategy, Aliens"
7670,48932,2007,"Horror, Dark, Action RPG, RPG,  Shooter, First-Person,  Atmospheric, Story Rich, Great Soundtrack,  Singleplayer, Classic,  Steampunk, Sci-fi, FPS, Adventure, Action"
7730,240,1998,"Flight, Space, Sci-fi, Singleplayer, Strategy"
7760,3488,1993,"1990s, Isometric, Turn-Based Strategy, Aliens, Base Building, Atmospheric, Difficult, Turn-Based, Adventure, Space, Simulation, Singleplayer, Classic, Management, Retro, Tactical, Sci-fi, Strategy, Action, Turn-Based Tactics"
7770,236,2001,"Shooter, Third-Person Shooter, Sci-fi, Strategy, Action, Aliens"
7830,7028,2009,"Realistic, Action, War,  Shooter, dable, Historical, Tactical, Co-op, Simulation, Singleplayer, Military, Level Editor, RTS, Strategy, Multiplayer,  I"
7840,70,2009,"Action, Racing"
7860,461,2009,"Horror,  Shooter, Zombies, First-Person, FPS, Action"
7940,41986,2007,"Multiplayer, Shooter, First-Person, Controller, Atmospheric, PvP, Story Rich, War, Great Soundtrack, Singleplayer, Classic,  Competitive, dable, Zombies, ern, Co-op, Military, FPS, Action"
8000,2015,2007,"Action, Female Protagonist, Action-Adventure, Platformer, Shooter, Third Person, Remake,  , Singleplayer, Third-Person Shooter, Classic, Parkour,  Adventure, Puzzle"
8080,808,2007,"Local Co-Op, Multiplayer, Story Rich, Violent, Shooter, Third Person,  Co-op, Third-Person Shooter,  Singleplayer, Controller,  Action, Atmospheric"
8100,100,2008,"Multiplayer, Co-op, Singleplayer, FPS, Action"
8140,2102,2008,"Female Protagonist, Action-Adventure, Platformer, Puzzle, Third Person, Shooter,  , Exploration, Singleplayer, Third-Person Shooter, Parkour, Adventure, Action, Atmospheric"
8170,3824,2009,"Multiplayer, Flight, Simulation, Singleplayer, Military, Open World, RTS, Strategy, Action,  I"
