Item_Id,Title,Recommend
15700,Oddworld: Abe's Oddysee®,"['Indiana Jones® and the Fate of Atlantis™', 'Indiana Jones® and the Last Crusade™', 'Broken Sword 3 - the Sleeping Dragon', 'Syberia', 'Tex Murphy: Martian Memorandum']"
7660,X-COM: Apocalypse,"['STAR WARS™ Empire at War - Gold Pack', 'AI War: Fleet Command', 'Homeworld Remastered Collection', 'Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Supreme Commander']"
7760,X-COM: UFO Defense,"['Lost Planet™: Extreme Condition', 'Drakensang', 'Rise of the Argonauts', 'Damnation', 'Bionic Commando']"
20510,S.T.A.L.K.E.R.: Clear Sky,"['MDK 2', 'Bully: Scholarship Edition', 'Grand Theft Auto: San Andreas', ""Oddworld: Stranger's Wrath HD"", 'Anachronox']"
17330,Crysis Warhead®,"['Razor2: Hidden Skies', 'Gundemonium Recollection', 'Astro Tripper', 'Symphony', 'ETHER VAPOR Remaster']"
17300,Crysis,"['Commandos: Beyond the Call of Duty', 'Commandos 2: Men of Courage', 'Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Commandos 3: Destination Berlin', 'Codename: Panzers - Cold War']"
7730,X-COM: Interceptor,"['Commandos: Beyond the Call of Duty', 'Commandos 2: Men of Courage', 'Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Commandos 3: Destination Berlin', 'Codename: Panzers - Cold War']"
20900,The Witcher: Enhanced Edition Director's Cut,"['Commandos: Beyond the Call of Duty', 'Commandos 2: Men of Courage', 'Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Commandos 3: Destination Berlin', 'Codename: Panzers - Cold War']"
1530,Multiwinia,"['Satellite Reign', 'Commandos: Behind Enemy Lines', 'Commandos: Beyond the Call of Duty', 'Commandos 2: Men of Courage', 'Warhammer® 40,000: Dawn of War® – Winter Assault']"
17120,Children of the Nile: Alexandria,"['Thief: Deadly Shadows', 'Hitman: Contracts', 'Gothic® 3', 'METAL GEAR SOLID V: THE PHANTOM PAIN', 'Hitman: Codename 47']"
16810,Sid Meier's Civilization IV: Colonization,"['GUN™', 'Hitman: Codename 47', 'Grand Theft Auto III', 'Grand Theft Auto: Vice City', 'Grand Theft Auto: San Andreas']"
19830,Tom Clancy's Rainbow Six® 3 Gold,"['Just Cause', 'Death to Spies', 'Prince of Persia: The Two Thrones™', ""Tom Clancy's Splinter Cell®"", 'Blood Omen 2: Legacy of Kain']"
21000,LEGO Batman,"['Deus Ex: Invisible War', 'Dark Messiah of Might &amp; Magic', 'Call of Juarez™', 'Vampire: The Masquerade - Bloodlines', 'BioShock™']"
17140,Hinterland,"['Hitman: Contracts', 'The Elder Scrolls V: Skyrim Special Edition', 'Vampire: The Masquerade - Bloodlines', 'Hitman: Blood Money', 'Thief™ II: The Metal Age']"
15390,Brothers in Arms: Hell's Highway™,"['STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition', 'Devil May Cry 4', 'Binary Domain', 'Game of Thrones', 'Viking: Battle for Asgard']"
21300,Gravitron 2,"['Project: Snowblind', 'Conflict: Denied Ops', 'Call of Duty®: Modern Warfare® 2 Stimulus Package', 'Exodus from the Earth', 'Smashball']"
15380,Heroes of Might &amp; Magic V: Hammers of Fate,"['Jade Empire™: Special Edition', 'ArcaniA', 'Mars: War Logs', 'Lords Of The Fallen™', 'DARK SOULS™ II Crown of the Sunken King']"
19800,Brothers in Arms: Earned in Blood™,"['Feeding Frenzy 2 Deluxe', 'Heavy Weapon Deluxe', 'Trackmania United Forever Star Edition', 'Reaxxion', 'Need for Speed Undercover']"
15370,Heroes of Might &amp; Magic V: Tribes of the East,"['Runaway, The Dream of The Turtle', 'Sherlock Holmes - Nemesis', 'Sherlock Holmes: The Silver Earring', 'Sherlock Holmes versus Jack the Ripper', 'Nancy Drew®: Danger by Design']"
19930,The Settlers®: Rise Of An Empire Gold Edition,"['Runaway, The Dream of The Turtle', 'Sherlock Holmes - Nemesis', 'Sherlock Holmes: The Silver Earring', 'Sherlock Holmes versus Jack the Ripper', 'Nancy Drew®: Danger by Design']"
19810,The Sum of All Fears,"['X-Blades', 'FINAL FANTASY TYPE-0™ HD', ""Dragon's Dogma: Dark Arisen"", 'Anima Gate of Memories', 'Devilian']"
22000,World of Goo,"['Railroad Tycoon 3', 'Railroad Tycoon II Platinum', 'RollerCoaster Tycoon® Classic', 'Uplink', 'Thrillville®: Off the Rails™']"
2820,X3: Terran Conflict,"['Railroad Tycoon 3', 'Railroad Tycoon II Platinum', 'RollerCoaster Tycoon® Classic', 'Uplink', 'Thrillville®: Off the Rails™']"
1230,Mare Nostrum,"['Railroad Tycoon 3', 'Railroad Tycoon II Platinum', 'RollerCoaster Tycoon® Classic', 'Uplink', 'Thrillville®: Off the Rails™']"
12200,Bully: Scholarship Edition,"['BioShock® 2', 'BioShock™ Remastered', 'Vampire: The Masquerade - Bloodlines', 'Deus Ex: Game of the Year Edition', 'Deus Ex: Invisible War']"
19900,Far Cry® 2: Fortune's Edition,"['X-COM: Interceptor', 'Star Raiders', 'Aces of the Galaxy™', 'Starscape', 'STAR WARS™ Starfighter™']"
11240,Space Trader: Merchant Marine,"['X-COM: Terror From the Deep', 'Jagged Alliance 1: Gold Edition', 'Star Traders: 4X Empires', 'Jagged Alliance 2 Gold', ""Disciples II: Gallean's Return""]"
9480,Saints Row 2,"['Act of War: Direct Action', 'Heroes of Annihilated Empires', 'Joint Task Force', 'Battlestations Pacific', 'Act of War: High Treason']"
17470,Dead Space,"['Just Cause™ 3', ""Tiny and Big: Grandpa's Leftovers"", 'Just Cause 2: Multiplayer Mod', 'Gang Beasts', 'Trove']"
12770,Rise of the Argonauts,"['The Next BIG Thing', 'D4: Dark Dreams Don’t Die -Season One-', 'The Darkside Detective', 'Sam &amp; Max: The Devil’s Playhouse', 'Sam &amp; Max: Season One']"
17410,Mirror's Edge™,"['Bone: Out From Boneville', 'Bone: The Great Cow Race', 'Axel &amp; Pixel', ""Dead Mountaineer's Hotel"", 'A Stroke of Fate: Operation Valkyrie']"
18500,Defense Grid: The Awakening,"[""Strong Bad's Cool Game for Attractive People: Season 1"", 'Jack Keane', 'Ankh 2: Heart of Osiris', 'Ceville', 'Tales of Monkey Island Complete Pack']"
16450,F.E.A.R. 2: Project Origin,"['Bone: Out From Boneville', 'Bone: The Great Cow Race', 'Axel &amp; Pixel', ""Dead Mountaineer's Hotel"", 'A Stroke of Fate: Operation Valkyrie']"
15400,Harvest: Massive Encounter,"['Bone: Out From Boneville', 'Bone: The Great Cow Race', 'Axel &amp; Pixel', ""Dead Mountaineer's Hotel"", 'A Stroke of Fate: Operation Valkyrie']"
11340,Larva Mortus,"['ARCADE GAME SERIES: GALAGA', 'Hit Tank PRO', 'Infinity Wings - Scout &amp; Grunt', 'Wild Guns Reloaded', 'Space Harrier™ II']"
25830,Knights of Honor,"['Fractured Space', 'X2: The Threat', 'X3: Reunion', 'X3: Terran Conflict', 'X: Beyond the Frontier']"
23460,Ceville,"['Civilization IV: Beyond the Sword', ""Sid Meier's Civilization IV: Colonization"", 'Unity of Command: Stalingrad Campaign', ""Sid Meier's Civilization V: Brave New World"", 'Sid Meier’s Ace Patrol']"
21010,Watchmen: The End is Nigh,"['Dirty Bomb®', 'Painkiller Overdose', 'Age of Chivalry', 'Singularity™', 'HIT']"
22180,Penumbra Overture,"['Dragon Age: Origins - Ultimate Edition', 'Conflict Desert Storm™', 'Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Codename: Panzers - Cold War', 'Desperados: Wanted Dead or Alive']"
13210,Unreal Tournament 3 Black,"[""Sid Meier's Civilization® V"", 'Panzer Corps', 'Order of Battle: World War II', 'Order of Battle: Winter War', 'Warbands: Bushido']"
12640,Drakensang,"['Bone: Out From Boneville', 'Bone: The Great Cow Race', 'Axel &amp; Pixel', ""Dead Mountaineer's Hotel"", 'A Stroke of Fate: Operation Valkyrie']"
27020,The Graveyard,"['Zombie Bowl-o-Rama', 'Zombie Shooter', 'Zombie Shooter 2', 'Call of Duty®: Black Ops First Strike Content Pack', 'Call of Duty®: Black Ops Escalation Content Pack']"
24740,Burnout Paradise: The Ultimate Box,"['Spear of Destiny', 'The Apogee Throwback Pack', 'NAM', 'SECTOR', 'Half-Life']"
90047,Zombie Master,"['Master Levels for Doom II', 'Final DOOM', 'Aliens versus Predator Classic 2000', 'Blood: One Unit Whole Blood', 'Wolfenstein: The Old Blood']"
26000,The Maw,"['Half-Life: Opposing Force', 'Half-Life Deathmatch: Source', 'QUAKE Mission Pack 2: Dissolution of Eternity', 'QUAKE Mission Pack 1: Scourge of Armagon', 'TimeShift™']"
11330,Obulis,"['Wolfenstein 3D', 'Heretic: Shadow of the Serpent Riders', 'HeXen II', 'STAR WARS™ - Dark Forces', 'Eradicator']"
27800,Space Giraffe,"['NecroVision', 'Dead Bits', 'Wilson Chronicles', 'Call of Duty®: Black Ops III - Season Pass', 'Chasing Dead']"
9850,Codename: Panzers - Cold War,"['Final DOOM', 'Return to Castle Wolfenstein', 'Blood: One Unit Whole Blood', 'Ultimate Doom', 'DOOM II']"
3600,Escape Rosecliff Island,"['Castle of Illusion', 'TY the Tasmanian Tiger', 'Bubsy Two-Fur', 'Sonic The Hedgehog', 'SEGA Mega Drive and Genesis Classics']"
16060,Samantha Swift and the Golden Touch,"['Dystopia', 'Twin Sector', 'Section 8®: Prejudice™', 'Hard Reset Extended Edition', 'Magrunner: Dark Pulse']"
1930,Two Worlds Epic Edition,"['Saints Row IV', 'Saints Row: The Third', 'Saints Row IV: Game of the Century Edition', 'Dead Rising 2: Off the Record', 'Saints Row: Gat out of Hell']"
7510,X-Blades,"[""Desperados 2: Cooper's Revenge"", 'The Sum of All Fears', 'Jagged Alliance: Crossfire', 'Aarklash: Legacy', 'Call of Duty®: Black Ops II - Kawaii Personalization Pack']"
22200,Zeno Clash,"['Vegas: Make It Big™', 'Tycoon City: New York', 'Hospital Tycoon', 'Ride! Carnival Tycoon', 'Plant Tycoon']"
25900,King's Bounty: The Legend,"['Prince of Persia: The Two Thrones™', ""Tom Clancy's Splinter Cell®"", 'Blood Omen 2: Legacy of Kain', ""Marc Eckō's Getting Up: Contents Under Pressure"", 'Sniper Elite']"
8880,Freedom Force,"['X-Plane 11', 'TrackMania Nations Forever', 'The Polynomial - Space of the music', 'F1 2014', 'Darkfall Unholy Wars']"
34500,Light of Altair,"['Blade Kitten', 'The Sims™ 3 Pets', 'Triple Town', ""Fly'N"", 'Croixleur Sigma']"
1280,Darkest Hour: Europe '44-'45,"['X-COM: Interceptor', 'Star Raiders', 'Aces of the Galaxy™', 'Starscape', 'STAR WARS™ Starfighter™']"
10150,Prototype™,"['URU: Complete Chronicles', 'Lunnye Devitsy', 'Secrets of Rætikon', 'Elegy for a Dead World', 'Cube &amp; Star: An Arbitrary Love']"
29160,Blueberry Garden,"['Killing Floor 2', 'Counter-Strike Nexon: Zombies', 'Killing Floor', 'Final DOOM', 'A.V.A. Alliance of Valiant Arms™']"
12470,Port Royale 2,"['The Quivering', 'Police Quest™ Collection', 'Indiana Jones® and the Fate of Atlantis™', 'Indiana Jones® and the Last Crusade™', 'The Journey Down: Chapter One']"
22340,Call of Cthulhu®: Dark Corners of the Earth,"['The Dig®', 'The Secret of Monkey Island: Special Edition', 'Grim Fandango Remastered', 'AR-K', 'AR-K: The Great Escape']"
